"Form","FormName","Batch","NumBatch","SA","SB","ST","SRperc","ZeroShearVisc","YieldStress","Viscosity","ElasticMod","ViscMod","TanDelta","pH","AUC"
"Reference","Daivodet60g","A66014","B1",83063,58110,24953,30,640110,441,10.47,43722,31790,0.727,7.84,350372
"Reference","Daivodet60g","A66014","B1",85864,58995,26869,31.3,638680,514,10.32,53803,37546,0.698,7.92,348502
"Reference","Daivodet60g","A66014","B1",85350,58401,26948,31.6,585650,458.3,10.14,48273,34130,0.707,7.95,336643
"Reference","Daivodet60g","A66014","B1",80702,54035,26667,33,542150,469.2,9.94,46884,34049,0.726,7.86,351055
"Reference","Daivodet60g","A66014","B1",88255,60612,27643,31.3,530220,500.2,9.73,46114,32887,0.713,7.86,353293
"Reference","Daivodet60g","A66014","B1",85347,58367,26980,31.6,541410,489.3,9.98,45727,33259,0.727,7.88,337585
"Reference","Daivodet60g","A66014","B1",82978,46159,36818,44.4,640720,498.2,10.09,51325,36565,0.712,7.9,354648
"Reference","Daivodet60g","A66014","B1",85917,58389,27528,32,542990,457.2,10.02,49209,34700,0.705,7.85,351379
"Reference","Daivodet60g","A66014","B1",82902,56717,26185,31.6,621160,500.1,9.53,45300,32031,0.707,7.88,351899
"Reference","Daivodet60g","A66014","B1",83735,46425,37309,44.6,688780,476.1,9.46,46608,32329,0.694,7.65,353489
"Reference","Daivodet60g","A66014","B1",83612,52951,30661,36.7,599560,443.5,9.58,43621,31023,0.711,7.8,354049
"Reference","Daivodet60g","A66014","B1",83591,48551,35040,41.9,520290,510.1,9.86,49004,34872,0.712,7.81,349719
"Reference","Daivodet60g","A51886","B2",92282,58491,33791,36.6,651010,647.3,10.7,47047,33756,0.717,7.63,349243
"Reference","Daivodet60g","A51886","B2",91374,58177,33197,36.3,557290,579.9,10.09,45288,32937,0.727,7.65,343108
"Reference","Daivodet60g","A51886","B2",90100,56837,33263,36.9,568770,569.6,10.08,48650,35354,0.727,7.66,346195
"Reference","Daivodet60g","A51886","B2",95445,59164,36281,38,572200,603.3,10.08,45521,33228,0.73,7.64,337585
"Reference","Daivodet60g","A51886","B2",95100,60538,34562,36.3,621070,623.1,10.07,44309,31960,0.721,7.6,330959
"Reference","Daivodet60g","A51886","B2",87558,52043,35515,40.6,570330,527.5,10.49,42494,30994,0.729,7.65,326359
"Reference","Daivodet60g","A51886","B2",92916,57410,35505,38.2,575350,535.3,9.09,38956,28319,0.727,7.67,326831
"Reference","Daivodet60g","A51886","B2",85753,52243,33510,39.1,573150,601.5,9.44,40683,29634,0.728,7.65,330267
"Reference","Daivodet60g","A51886","B2",87654,53620,34034,38.8,525590,545.3,10.39,44366,32714,0.737,7.64,333060
"Reference","Daivodet60g","A51886","B2",89401,53482,35919,40.2,551160,551,10.21,54670,38919,0.712,7.62,334027
"Reference","Daivodet60g","A51886","B2",84031,49333,34698,41.3,557810,625.1,9.45,49995,36561,0.731,7.68,330350
"Reference","Daivodet60g","A51886","B2",95412,59452,35960,37.7,579980,614.3,9.62,46356,33269,0.718,7.65,324548
"Reference","Daivodet60g","A57973","B3",80764,52592,28172,34.9,488890,429.9,9.84,48528,33907,0.699,7.68,364445
"Reference","Daivodet60g","A57973","B3",80466,53197,27269,33.9,674650,476.2,9.06,46505,32969,0.709,7.69,358854
"Reference","Daivodet60g","A57973","B3",82340,54353,27987,34,643240,500.2,8.7,52648,37201,0.707,7.7,342195
"Reference","Daivodet60g","A57973","B3",79241,52985,26256,33.1,579900,485.3,9.35,50781,36048,0.71,7.85,355143
"Reference","Daivodet60g","A57973","B3",81783,52953,28830,35.3,577110,436.5,9.74,58717,41415,0.705,7.84,340501
"Reference","Daivodet60g","A57973","B3",80774,51741,29033,35.9,548750,458.6,9.66,51923,36514,0.703,7.84,338567
"Reference","Daivodet60g","A57973","B3",84017,53629,30388,36.2,618640,455.2,9.61,50369,35619,0.707,7.81,350171
"Reference","Daivodet60g","A57973","B3",85804,55886,29918,34.9,651940,501.3,9.75,47455,33783,0.712,7.79,352714
"Reference","Daivodet60g","A57973","B3",82868,53649,29220,35.3,630620,436.4,9.51,56694,39566,0.698,7.8,348070
"Reference","Daivodet60g","A57973","B3",81894,53088,28806,35.2,606220,448.1,9.68,51151,35492,0.694,7.65,332721
"Reference","Daivodet60g","A57973","B3",83636,53789,29848,35.7,604360,464.2,9.63,52758,37319,0.707,7.82,352714
"Reference","Daivodet60g","A57973","B3",83921,53465,30456,36.3,668510,476.3,9.79,48435,34161,0.705,7.83,348365
"Reference","Daivodet60g","A51002","B4",95423,62826,32598,34.2,518980,488.5,9.15,38677,28261,0.731,7.95,351207
"Reference","Daivodet60g","A51002","B4",86323,57643,28681,33.2,542830,519.5,9.12,39728,28240,0.711,7.94,350348
"Reference","Daivodet60g","A51002","B4",90108,59902,30206,33.5,585390,514.2,10.09,42473,30483,0.718,7.85,344349
"Reference","Daivodet60g","A51002","B4",91242,59750,31492,34.5,489920,527.5,10.28,42792,30706,0.718,7.89,338155
"Reference","Daivodet60g","A51002","B4",93443,60066,33376,35.7,572010,520.4,9.37,41649,29681,0.713,7.8,339765
"Reference","Daivodet60g","A51002","B4",96360,66725,29636,30.8,589330,525.6,10.19,42697,31073,0.728,7.78,331616
"Reference","Daivodet60g","A51002","B4",92636,63541,29095,31.4,536160,522.3,10.12,47054,33987,0.722,7.81,334989
"Reference","Daivodet60g","A51002","B4",94394,63365,31029,32.9,603160,520.5,9.38,46498,33159,0.713,7.89,324047
"Reference","Daivodet60g","A51002","B4",93763,61822,31941,34.1,498130,502.5,9.12,55413,38792,0.7,7.84,327655
"Reference","Daivodet60g","A51002","B4",90739,60801,29939,33,589440,521.4,10.16,43057,30658,0.712,7.83,337423
"Reference","Daivodet60g","A51002","B4",94118,55760,38359,40.8,614890,513.4,9.32,35808,26301,0.734,7.89,349499
"Reference","Daivodet60g","A51002","B4",92151,54360,37792,41,602020,523.3,10.25,45623,31903,0.699,7.85,336609
"Reference","Daivodet60g","A58066","B5",88980,64682,24297,27.3,559370,464.1,10.8,50851,34773,0.684,7.85,336761
"Reference","Daivodet60g","A58066","B5",94272,66150,28122,29.8,594390,368.7,10.5,46545,32297,0.694,7.78,350132
"Reference","Daivodet60g","A58066","B5",89982,64742,25240,28.1,557160,441,10.7,50074,34496,0.689,7.68,351894
"Reference","Daivodet60g","A58066","B5",88671,64136,24535,27.7,546600,398.1,10.8,50870,34605,0.68,7.75,348860
"Reference","Daivodet60g","A58066","B5",89672,65235,24437,27.3,587910,390.2,11.1,41428,28311,0.683,7.69,362384
"Reference","Daivodet60g","A58066","B5",88903,65369,23534,26.5,558380,402.5,11.4,40341,28519,0.707,7.8,355492
"Reference","Daivodet60g","A58066","B5",77479,52547,24932,32.2,593020,445.2,9.2,39151,27384,0.699,7.65,352674
"Reference","Daivodet60g","A58066","B5",79713,54246,25467,31.9,549970,403.5,9.23,43870,30932,0.705,7.7,339765
"Reference","Daivodet60g","A58066","B5",77956,53244,24712,31.7,585680,398.1,9.37,47608,33031,0.694,7.71,345901
"Reference","Daivodet60g","A58066","B5",78525,53622,24903,31.7,601150,399.2,9.13,44049,31173,0.708,7.8,335165
"Reference","Daivodet60g","A58066","B5",78220,54019,24201,30.9,594720,401.5,9.15,44035,30822,0.7,7.75,338616
"Reference","Daivodet60g","A58066","B5",75963,52218,23745,31.3,557420,403.3,8.9,42770,29871,0.698,7.76,340697
"Reference","Daivodet60g","A65328","B6",85138,58273,26865,31.6,725070,527.5,10.26,52107,37776,0.725,7.56,346504
"Reference","Daivodet60g","A65328","B6",86429,56825,29604,34.3,602700,488.5,10.75,47411,34579,0.729,7.58,379991
"Reference","Daivodet60g","A65328","B6",92143,58420,33723,36.6,651890,515.3,10.56,51948,37461,0.721,7.6,368372
"Reference","Daivodet60g","A65328","B6",91241,57815,33427,36.6,603320,502.1,10.39,50626,36298,0.717,7.68,374145
"Reference","Daivodet60g","A65328","B6",91681,58337,33344,36.4,640210,498.3,10.2,50633,36038,0.712,7.7,360440
"Reference","Daivodet60g","A65328","B6",91664,57486,34178,37.3,611540,514.6,10.35,58504,41610,0.711,7.69,361466
"Reference","Daivodet60g","A65328","B6",78675,48861,29814,37.9,703600,485.3,9.75,47145,33476,0.71,7.6,367268
"Reference","Daivodet60g","A65328","B6",82805,51207,31598,38.2,659460,510.2,10.51,56401,40074,0.711,7.68,355963
"Reference","Daivodet60g","A65328","B6",87215,53721,33494,38.4,690680,520.1,10.27,53272,38779,0.728,7.71,357136
"Reference","Daivodet60g","A65328","B6",87866,53702,34164,38.9,635190,490.4,10.16,45546,32847,0.721,7.63,357652
"Reference","Daivodet60g","A65328","B6",83540,51640,31899,38.2,641910,504.3,9.58,49564,35453,0.715,7.71,368696
"Reference","Daivodet60g","A65328","B6",80398,50058,30340,37.7,631690,514.8,9.87,48509,34884,0.719,7.6,358786
"Reference","Daivodet30g","A53211","B7",77389,55504,21885,28.3,666380,554.7,9.4,55365,38598,0.697,7.75,358830
"Reference","Daivodet30g","A53211","B7",80636,55962,24674,30.6,568810,555.2,9.3,60442,41027,0.679,7.74,312198
"Reference","Daivodet30g","A53211","B7",80954,57881,23074,28.5,573030,615,9.6,55305,37050,0.67,7.73,309027
"Reference","Daivodet30g","A53211","B7",80848,55499,25349,31.4,784310,569.5,9.2,61067,40608,0.665,7.65,329339
"Reference","Daivodet30g","A53211","B7",78686,54939,23747,30.2,592620,557.2,9.3,57624,39214,0.681,7.68,317912
"Reference","Daivodet30g","A53211","B7",79444,57062,22382,28.2,729850,514.2,9.8,62660,43270,0.691,7.69,299676
"Reference","Daivodet30g","A53211","B7",80158,56792,23366,29.1,681870,601.2,8.7,57472,38304,0.666,7.62,315850
"Reference","Daivodet30g","A53211","B7",80701,56878,23824,29.5,657560,564.3,9.2,55812,38123,0.683,7.68,338096
"Reference","Daivodet30g","A53211","B7",82052,58333,23719,28.9,703110,523.5,8.7,52022,36066,0.693,7.64,323709
"Reference","Daivodet30g","A53211","B7",80595,57099,23495,29.2,680950,610.4,9.1,54481,38180,0.701,7.68,318245
"Reference","Daivodet30g","A53211","B7",80345,56457,23888,29.7,591990,578.1,8.8,55943,39478,0.706,7.67,332073
"Reference","Daivodet30g","A53211","B7",79654,55748,23906,30,645580,546.5,8.9,59769,40237,0.673,7.63,336643
"Reference","Daivodet30g","A45843","B8",70309,51262,19047,27.1,839980,517.3,8.59,58460,38686,0.662,7.71,356484
"Reference","Daivodet30g","A45843","B8",70360,52643,17717,25.2,779980,560.2,8.05,56971,37911,0.665,7.78,347010
"Reference","Daivodet30g","A45843","B8",71809,51382,20427,28.4,712780,578.3,8.4,59223,38776,0.655,7.75,352714
"Reference","Daivodet30g","A45843","B8",69620,51505,18115,26,717580,545.4,8.41,54335,36484,0.671,7.76,365147
"Reference","Daivodet30g","A45843","B8",69983,51797,18186,26,739780,546.3,8.41,63046,42572,0.675,7.77,347010
"Reference","Daivodet30g","A45843","B8",70258,52147,18112,25.8,644530,540.1,8.6,53819,35188,0.654,7.79,354977
"Reference","Daivodet30g","A45843","B8",69822,49741,20081,28.8,755085,555.3,8.35,56887,38363,0.674,7.8,365663
"Reference","Daivodet30g","A45843","B8",70374,50499,19874,28.2,737850,548.2,8.45,59043,38465,0.651,7.76,354471
"Reference","Daivodet30g","A45843","B8",71291,52164,19128,26.8,744070,565.2,8.11,51026,34171,0.67,7.74,356160
"Reference","Daivodet30g","A45843","B8",69033,48249,20784,30.1,702410,571.3,8.27,53152,34966,0.658,7.89,358005
"Reference","Daivodet30g","A45843","B8",69488,51141,18347,26.4,745450,532.3,8.27,56407,37080,0.657,7.73,362688
"Reference","Daivodet30g","A45843","B8",70683,50644,20039,28.4,820940,512.4,8.26,65520,42844,0.654,7.75,357259
"Reference","Daivodet30g","A56687","B9",90626,54300,36326,40.1,768370,584.3,9.6,59543,41531,0.697,7.85,292922
"Reference","Daivodet30g","A56687","B9",86916,51762,35153,40.4,718070,564.2,9.4,69562,48391,0.696,7.84,328043
"Reference","Daivodet30g","A56687","B9",88915,53217,35698,40.1,718980,559.1,9.7,63872,44712,0.7,7.86,350392
"Reference","Daivodet30g","A56687","B9",92651,55946,36705,39.6,726270,560.2,9.9,65779,45652,0.694,7.84,336785
"Reference","Daivodet30g","A56687","B9",93578,55965,37613,40.2,724360,578.9,9.3,64783,44018,0.679,7.82,330959
"Reference","Daivodet30g","A56687","B9",88627,53916,34711,39.2,738550,580.1,9.5,69470,47906,0.69,7.81,326600
"Reference","Daivodet30g","A56687","B9",87874,52207,35667,40.6,693890,564.3,9.6,65851,44820,0.681,7.83,341689
"Reference","Daivodet30g","A56687","B9",87765,52887,34877,39.7,782160,564.2,9.7,63933,44255,0.692,7.84,342219
"Reference","Daivodet30g","A56687","B9",88915,53217,35698,40.1,693920,558.1,9.1,58627,41493,0.708,7.85,332829
"Reference","Daivodet30g","A56687","B9",89210,53424,35786,40.1,621020,559.2,9.4,61105,41422,0.678,7.86,319556
"Reference","Daivodet30g","A56687","B9",92651,55946,36705,39.6,663060,571.3,9.2,75350,50778,0.674,7.9,343608
"Reference","Daivodet30g","A56687","B9",89482,54115,35367,39.5,615410,563.2,9.3,61595,41796,0.679,7.88,329118
"Reference","Daivodet30g","A67822","B10",83285,59941,23344,28,601980,514.2,10.09,50262,34605,0.688,7.89,338366
"Reference","Daivodet30g","A67822","B10",85193,62229,22964,27,601660,555.2,10.32,57761,40132,0.695,8.01,338042
"Reference","Daivodet30g","A67822","B10",84749,61789,22960,27.1,595860,584.3,9.8,59747,40904,0.685,8.02,307937
"Reference","Daivodet30g","A67822","B10",85761,64273,21489,25.1,565910,525.3,9.96,54596,37407,0.685,7.9,326831
"Reference","Daivodet30g","A67822","B10",88004,59726,28278,32.1,593330,536.5,9.83,58191,39750,0.683,7.58,336800
"Reference","Daivodet30g","A67822","B10",87723,62718,25005,28.5,568850,543.8,9.98,58294,41045,0.704,7.65,334822
"Reference","Daivodet30g","A67822","B10",84782,55733,29049,34.3,741600,502.3,10.2,57779,39951,0.691,8.02,340707
"Reference","Daivodet30g","A67822","B10",87328,58911,28417,32.5,667510,545.2,9.9,61943,42887,0.692,7.92,330517
"Reference","Daivodet30g","A67822","B10",85293,56263,29030,34,675450,565.3,9.72,63302,44453,0.702,7.68,320896
"Reference","Daivodet30g","A67822","B10",83649,53621,30028,35.9,712980,547.1,9.19,54819,37943,0.692,7.84,328907
"Reference","Daivodet30g","A67822","B10",83151,46444,36707,44.1,622860,554.2,9.99,64400,43832,0.681,7.93,333433
"Reference","Daivodet30g","A67822","B10",83667,55903,27765,33.2,665950,565.1,9.82,58549,40697,0.695,8,315693
